"","Axis.1","Axis.2","Axis.3"
"sp7",-0.0495501958709301,-0.00739593500341419,-0.015466268515455
"sp8",-0.100530657937129,-0.0396754422398001,0.013456401144606
"sp9",-0.110824595025016,-0.0745981472242358,0.0354323113235169
"sp11",-0.107394632584983,-0.0149420283947452,-0.00278343129296005
"sp12",-0.1064536718434,-0.0307924619245178,0.00656578180716342
"sp19",-0.0595879352561205,-0.0344655442818712,0.0070316138549047
"sp20",-0.0597615297678267,-0.0219905307051714,-0.000306660278621571
"sp21",-0.0740205635779389,-0.0245653115535801,0.00580253770836119
"sp22",-0.098825683877344,-0.117608606962943,0.0632193369531487
"sp23",-0.121960791737858,-0.180533395520427,0.0968813605095726
"sp24",-0.070059044014611,-0.018331532618235,0.00120568354034588
"sp25",-0.122741782341761,-0.125621866533832,0.0678168367253867
"sp26",-0.123212482095427,-0.183920879660857,0.0986734452215991
"sp27",-0.0800575560415206,-0.0713218022768702,0.0351697226256899
"sp29",-0.0983426489079138,-0.043574565962547,0.0166764845389625
"sp30",-0.119518657373227,-0.130041100530358,0.0708696857700025
"sp31",-0.108971084487885,-0.0254082678158836,0.0027667179152507
"sp32",-0.135007023452,-0.16011642723016,0.0868048379124019
"sp34",-0.0974372337807846,-0.0776807951801971,0.0397073473175725
"sp36",-0.0861956792688621,-0.00171203911127812,-0.00570479054247445
"sp50",0.15732068831429,-0.00188147169789417,0.0304304437951462
"sp51",0.202582510754399,0.166333445779899,0.118771712674259
"sp54",0.178188662271926,-0.035519287085647,0.0344454815337516
"sp55",0.269144516910676,-0.207744086765501,0.168431570707858
"sp58",0.108446389576251,0.0344419983827657,0.0499942663309962
"sp62",0.123118183482093,0.0333050545281482,0.0420523237638816
"sp64",0.159145555623566,0.0170234385533642,0.0175752134221108
"sp69",-0.201152249688736,0.219145280411366,0.0535942013811721
"sp70",-0.232166334073256,0.242418581211598,0.0590877048615654
"sp71",-0.350972175536333,0.315669512507334,0.0780560869862579
"sp73",0.350912870392012,-0.285252574332622,0.189748686706558
"sp75",0.201369068123154,0.299830792252731,0.080621469624995
"sp77",0.173340549984481,0.085662439417621,0.0060997035430205
"sp79",0.17605092434797,0.0644426360069041,-0.00271067640829259
"sp81",0.220247408557744,0.213917067740566,0.0813764729379191
"sp82",0.234128701024025,0.212828799223742,0.0727762755944531
"sp85",-0.0651184915710084,0.0144915177423301,-0.0177880874372838
"sp87",-0.115041445303924,0.190773229212573,0.0470396690623348
"sp89",-0.125539145974874,0.0282334283311337,-0.0137606523999459
"sp90",-0.0991230463135028,0.0216860153766036,-0.0136472338946006
"sp93",-0.108045955599717,0.0267420665184994,-0.0133600533571151
"sp94",-0.130701147963436,0.0293894381024078,-0.0138322424758407
"sp96",-0.0887394748341217,0.00613941696734533,-0.00801891860321097
"sp98",-0.101660426901534,0.00766224372094439,-0.00947451720863499
"sp100",0.0865071419305488,-0.0165927537258242,-0.162763713382305
"sp101",0.115529829208938,-0.0781352223538654,-0.234895231662485
"sp102",0.0958918080512494,-0.0218067515322361,-0.181831150933521
"sp103",0.0923107273934435,-0.00158844454383802,-0.186922941211634
"sp105",0.0921542997778915,-0.0216003396395484,-0.168584552195736
"sp106",0.0863848037117296,0.00599224841005124,-0.178344897332509
"sp108",0.147113964039583,0.23086406966716,-0.224537838353716
"sp110",0.0794022581118918,0.0235105672118387,-0.183977608870417
"sp111",0.0824306441446881,0.0114808964366083,-0.176967201337588
"sp112",0.0956617591935069,-0.0485757296787096,-0.156844591240988
"sp113",0.118486351175572,-0.142746385624387,-0.135427359817605
"sp115",0.0950911461151141,-0.028651808660202,-0.171833577068611
"sp119",-0.106953941581877,-0.0104445336015145,-0.00494333986170421
"sp122",-0.08236190515452,-0.00661134811241191,-0.00339342463244434
"sp127",-0.0858816216731786,0.000641055356901239,-0.00631904842956327
"sp128",-0.112370749519609,0.0215208938351595,-0.0141420163895873
"sp133",0.178590091413352,0.00408192893303153,0.00615653967191226
"sp135",0.165750739926318,-0.0188879779311383,0.0335644717692244
"sp139",-0.125180817032985,-0.0369508393039117,0.00246354951517735
"sp140",-0.0888924611390911,-0.00503445677802983,-0.00453443672479159
"sp141",-0.0908803671396231,-0.00848432185722818,-0.00306391677091935
