"sp","RI"
"sp10",0.225988108551416
"sp100",0.484100413648886
"sp101",0.642807958024218
"sp102",0.478921414938532
"sp103",0.661137932651528
"sp105",0.567066361491164
"sp106",0.426574840595093
"sp108",0.478374550032943
"sp11",0.500128289602173
"sp110",0.195146113865128
"sp111",0.365175603241902
"sp112",0.50985525623974
"sp113",0.412097279408517
"sp115",0.614028993013119
"sp116",0.250355257207632
"sp118",0.695135464606601
"sp119",0.518363101143595
"sp12",0.532147779895366
"sp121",0.195146113865128
"sp122",0.722710758538659
"sp123",0.334106796738839
"sp124",0.195146113865128
"sp125",0.696496895388595
"sp126",0.664078482505171
"sp127",0.718452179109113
"sp128",0.518503225555404
"sp129",0.445677627638386
"sp13",0.621484697108384
"sp130",0.221482607677981
"sp132",0.693218257482943
"sp133",0.42246798669063
"sp134",0.195146113865128
"sp135",0.696401727276489
"sp136",0.902957289708951
"sp139",0.635967263963345
"sp140",0.510066425078917
"sp141",0.570376601079548
"sp147",0.195146113865128
"sp148",0.337526090931814
"sp149",0.195146113865128
"sp150",0.21554364071745
"sp151",0.596961769328642
"sp152",0.409491648395439
"sp153",0.230181711484433
"sp154",0.195146113865128
"sp155",0.195146113865128
"sp156",0.227838695215227
"sp157",0.278412841704758
"sp158",0.468324579917057
"sp19",0.72506554451404
"sp20",0.521854196577934
"sp21",0.538314069527155
"sp22",0.874654639724492
"sp23",0.819820802128137
"sp24",0.665728300162001
"sp25",0.583653353741745
"sp26",0.587569517973589
"sp27",0.534851564300271
"sp28",0.451321404367293
"sp29",0.765265141339628
"sp30",0.580003222873472
"sp31",0.333694438876297
"sp32",0.586327029756534
"sp33",0.421901372641276
"sp34",0.473367127573608
"sp36",0.761335802057507
"sp49",0.719543805212258
"sp50",0.496211419035926
"sp51",0.770360911962983
"sp52",0.694090958400753
"sp54",0.548246088361433
"sp55",0.488363320109942
"sp56",0.642736229978132
"sp58",0.703864647487226
"sp59",0.738826242475363
"sp60",0.609256046047789
"sp61",0.535708605058324
"sp62",0.614996096839704
"sp64",0.464911241192087
"sp65",0.195146113865128
"sp66",0.195146113865128
"sp67",0.195146113865128
"sp69",0.231757269950607
"sp7",0.571367173332564
"sp70",0.48297559129027
"sp71",0.513148399484071
"sp72",0.470851486796331
"sp73",0.5004870469015
"sp75",0.47486191395339
"sp76",0.195146113865128
"sp77",0.53151132741959
"sp79",0.500869680032174
"sp8",0.616569730939744
"sp81",0.505314572829709
"sp82",0.577277313481266
"sp84",0.544984063605121
"sp85",0.621051700943472
"sp87",0.640340186156182
"sp88",0.195146113865128
"sp89",0.546261273987808
"sp9",0.44905394283664
"sp90",0.475236068650355
"sp93",0.243256064845256
"sp94",0.503753649219213
"sp95",0.738420650899015
"sp96",0.424226567679833
"sp98",0.553281475119392
"sp99",0.421581471987358
